"id","tema","mental","penjelasan"
"14","Niat","Punya action plan","Punya rencana kehidupan yang ditulis secara rinci, baik : Timeline, Stepline, maupun Minor rutin. Action Plan terdiri dari Timeline, yaitu cita-cita dan rencana pertahapnya sesuai patokan usia yang diinginkan, misalnya usia 20 thn s1 di mesir, usia 40 th punya pontren gratis, dst. Stepline yaitu perincian aktivitas yang harus dikerjakan untuk mencapai semua target di usia tertentu. Misalnya untuk mencapai target s1 di Mesir di usia 20 th. Maka harus belajar bahasa arab, harus menghafal kitab Alfiah Ibnu Malik, dst. Minor routin, Yaitu perincian aktivitas detail/kecil yang harus diistiqomahi untuk mencapai agenda mayor, misalnya 'Tahajud setiap hari', 'hafal 20 kosa kata setiap hari', dst."
"15","Jihad","Sumpah SI 6  “Sadar bahwa dunia adalah game yang besar.”","Seorang mukmin yang jeli, ia akan melihat bahwa dunia ini mirip game. Di sebuah game. Pemain yang menang akan dapat hadiah, dan pemain yang kalah akan mati. Bedanya kalau game biasa kalau kita kalah, maka resikonnya hanya pulsa data. Tapi kalau game bernama dunia ini, kalau kita kalah, maka kita akan dapat neraka."
"16","Jihad","Sumpah SI 7  “Setiap pilihan ada konsekuensinya.”","Hidup ini dipenuhi pilihan. Kita harus memilih. Dan apapun yang klita pilih pasti ada konsekuensinya. Bahkan makan enak saja kalau kebanyakan kita bisa diabetes. Ini bisa ke seluruh urusan, misalnya urusan politik. Kalau kita memilih golput, sejatinya itu sudah memilih, yaitu memenangkan salah satu calon dan membuat kalah calon lainnya."
"17","Jihad","Daya juang","Daya juang adalah : Kemampuan untuk terus berikhtiar, Tidak menyerah, Tidak putus asa. Pikiran yang besar atau cita-cita yang tinggi, cuma jadi hayalan belaka, apabila tidak disertai dengan daya juang yang tinggi. Daya juang adalah kemampuan untuk terus berikhtiar : Tak peduli berapa kali kegagalan menghampiri, terus berikhtiar kembali. Tidak peduli betapa sulitnya, tidak pernah menyerah. Tidak peduli berapa lama harus berjuang berapa banyak harus berkurban, terus berikhtiar dan tidak pernah berputus asa."
"18","Jihad","Kompetitif (Daya saing)","Adalah kemampuan untuk : Bersaing, Merespon dengan benar kemenangan, Merespons dengan benar kekalahan. Ambisi adalah hal yang baik, keinginan untuk menang sama sekali bukan hal yang buruk, itu bahkan adalah salah satu sifat dasar manusia. Manusia tanpa ambisi atau manusia yang ambisinya kecil, sama seperti mobil tanpa bahan bakar. Semangat berkompetisi adalah bahan bakar aktif untuk menyalakan semangat, untuk menyalakan jihad, untuk mempertahankan endurance, dsb. Namun tentu saja hanya dalam urusan kebaikan (fastabiqhul khoirot), bukan dalam hal keburukan apalagi dosa."
"19","Jihad","Monetitatif (Daya menguangkan)","Kemampuan untuk menghasilkan uang dari suatu produk. Kita tidak boleh hanya jadi pengguna dari suatu produk, kita juga tidak boleh hanya menjadi pembuat dari suatu produk, kita harus juga menjadi orang yang mendapatkan uang dari produk tersebut. Inilah kemampuan monetisasi. Kemampuan menghasilkan uang dari karya atau skill ini pondasinya adalah literasi finansial. Kemampuan dasar finansial atau literasi finansial itu adalah ; memahami tentang istilah : Pemasukan, Pengeluaran, Tabungan, Investasi, Hutang, dan Pencatatan keuangan."
"20","Jihad","Cara belajar","Belajar merupakan aktivitas yang paling penting : Belajar merupakan perintah Allah yang pertama. Kita harus belajar dengan 3 alat belajar dan Kita harus belajar dengan 3 cara belajar. Tiga Cara belajar itu adalah : 'Tanya atau ditanya' yaitu ketika guru selesai menjelaskan materi, ia wajib bertanya kepada santri tentamg segala hal terkait materinya tersebut dan atau santri wajib bertanya kepada guru tentang materi tersebut. 'Menulis notes', yaitu menulis notes dengan benar ( Mencatat, Merangkum, Merespon ) dengan salah satu metode (layout, cornel, atau mindmap) dan 'Murajaah' yaitu sering mengulang membaca memikirkan mengingat isi materi tersebut."
"21","Jihad","Mulai dari enol","Semua orang sukses : selalu mulai dari enol, tidak ada yang instant, dan tanpa jerih payah. Semua mulai dari enol, maksudnya adalah kesuksesan selalu dirintis terlebih dahulu. tidak ada yang instant, semua mulai dari enol. seperti manusia dewasa, dulunya ia juga bayi belajar berjalan, berlari, dsb sampai ia dewasa. Semua orang kaya dulunya juga memulai dari enol, dulu miskin, kemudan ia berjuang berkurban menderita jatuh bangun, sampai akhirnya ia memperoleh kekayaan tersebut."
"22","Jihad","Mental belajar","Mental belajar adalah semangat untuk terus belajar : dimanapun, kapanpun, dan dalam keadaan apapun. Tidak semua pelajar adalah pembelajar. Orang yang duduk dibangku sekolah belum tentu belajar. Tetapi orang yang belajar, pasti adalah seorang pembelajar walaupun ia tidak berada di sekolah. Ia belajar diluar sekolah, di jalanan, di perpustakaan, kala ia bekerja, kala ia di tengah masyarakat. ia tetap akan belajar saat ia kaya saat ia miskin. Ia akan terus belajar saat ia semangat atau sedang malas. Ia akan belajar dimanapun, kapanpun, dan dalam keadaan apapun."
"23","Jihad","Kontrol potensi","Manusia sukses adalah mereka : yang tahu potensi dirinya, bisa merawat potensinya, dan memanfaatkan potensi itu untuk mencapai tujuannya. Pertama tentu ia harus menemukan potensinya. Ia tahu niat, minat, dan bakatnya. Setelah itu ia harus berjuang keras untuk merawat potensinya itu dengan belajar sungguh-sungguh, memperbanyak latihan, mengasahnya agar semakin tajam. Kemudian ia mampu menggunakannya untuk mencapai tujuannya. Misalnya keinginan untuk kaya, terkenal, dan punya pekerjaan."
